Order_ID,Date,Product_ID,Product_Name,Category,Quantity,Unit_Cost,Unit_Price,Discount,Channel,Region,Skin_Type
YUL-10000,2025-11-08,P003,Scalp Soothing Oil,Hair,2,8,28,0.2,Flagship Store,NYC,Combination
YUL-10001,2025-08-19,P005,Ceramide Barrier Cream,Skin,3,14,42,0.0,Flagship Store,Seoul,Oily
YUL-10002,2025-10-28,P004,Mugwort Essence,Skin,4,10,32,0.2,Flagship Store,Tokyo,Combination
YUL-10003,2024-02-14,P001,Deep Sea Hair Mask,Hair,1,12,38,0.0,Sephora,London,Oily
YUL-10004,2025-08-08,P002,Fermented Rice Serum,Skin,3,15,45,0.0,Sephora,London,Oily
YUL-10005,2025-02-06,P001,Deep Sea Hair Mask,Hair,1,12,38,0.1,Flagship Store,NYC,Combination
YUL-10006,2025-04-27,P002,Fermented Rice Serum,Skin,3,15,45,0.1,Olive Young,Tokyo,Dry
YUL-10007,2024-07-08,P001,Deep Sea Hair Mask,Hair,3,12,38,0.0,Online,London,Oily
YUL-10008,2025-06-10,P003,Scalp Soothing Oil,Hair,1,8,28,0.1,Olive Young,NYC,Dry
YUL-10009,2025-04-20,P005,Ceramide Barrier Cream,Skin,2,14,42,0.25,Online,London,Sensitive
YUL-10010,2025-02-06,P005,Ceramide Barrier Cream,Skin,2,14,42,0.2,Sephora,Seoul,Sensitive
YUL-10011,2025-11-29,P005,Ceramide Barrier Cream,Skin,4,14,42,0.0,Sephora,Tokyo,Sensitive
YUL-10012,2025-01-08,P001,Deep Sea Hair Mask,Hair,1,12,38,0.1,Sephora,Seoul,Sensitive
YUL-10013,2025-04-29,P003,Scalp Soothing Oil,Hair,3,8,28,0.2,Online,NYC,Combination
YUL-10014,2025-07-22,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Flagship Store,NYC,Sensitive
YUL-10015,2025-10-30,P005,Ceramide Barrier Cream,Skin,2,14,42,0.0,Olive Young,London,Dry
YUL-10016,2025-05-19,P002,Fermented Rice Serum,Skin,2,15,45,0.0,Olive Young,London,Combination
YUL-10017,2025-07-17,P004,Mugwort Essence,Skin,3,10,32,0.0,Flagship Store,London,Sensitive
YUL-10018,2025-09-09,P001,Deep Sea Hair Mask,Hair,3,12,38,0.25,Online,London,Sensitive
YUL-10019,2025-09-21,P005,Ceramide Barrier Cream,Skin,4,14,42,0.2,Sephora,Seoul,Sensitive
YUL-10020,2024-11-06,P003,Scalp Soothing Oil,Hair,2,8,28,0.0,Online,Seoul,Combination
YUL-10021,2025-01-20,P004,Mugwort Essence,Skin,3,10,32,0.25,Flagship Store,NYC,Oily
YUL-10022,2024-09-15,P004,Mugwort Essence,Skin,3,10,32,0.25,Sephora,London,Combination
YUL-10023,2025-11-27,P003,Scalp Soothing Oil,Hair,1,8,28,0.2,Online,Tokyo,Combination
YUL-10024,2024-03-15,P003,Scalp Soothing Oil,Hair,2,8,28,0.25,Flagship Store,NYC,Dry
YUL-10025,2024-10-27,P004,Mugwort Essence,Skin,4,10,32,0.1,Flagship Store,Seoul,Combination
YUL-10026,2024-05-18,P003,Scalp Soothing Oil,Hair,2,8,28,0.1,Olive Young,London,Combination
YUL-10027,2024-10-09,P004,Mugwort Essence,Skin,3,10,32,0.2,Online,Seoul,Sensitive
YUL-10028,2024-01-27,P004,Mugwort Essence,Skin,4,10,32,0.25,Online,Tokyo,Combination
YUL-10029,2024-12-24,P001,Deep Sea Hair Mask,Hair,2,12,38,0.1,Sephora,Seoul,Combination
YUL-10030,2025-10-29,P004,Mugwort Essence,Skin,1,10,32,0.0,Sephora,Seoul,Oily
YUL-10031,2025-03-27,P003,Scalp Soothing Oil,Hair,1,8,28,0.2,Sephora,Tokyo,Combination
YUL-10032,2025-06-10,P005,Ceramide Barrier Cream,Skin,4,14,42,0.25,Sephora,Seoul,Combination
YUL-10033,2025-03-28,P004,Mugwort Essence,Skin,4,10,32,0.25,Flagship Store,London,Dry
YUL-10034,2025-07-05,P004,Mugwort Essence,Skin,2,10,32,0.0,Olive Young,London,Dry
YUL-10035,2024-05-28,P005,Ceramide Barrier Cream,Skin,2,14,42,0.0,Olive Young,Seoul,Dry
YUL-10036,2024-03-20,P003,Scalp Soothing Oil,Hair,2,8,28,0.1,Sephora,Seoul,Combination
YUL-10037,2025-11-09,P005,Ceramide Barrier Cream,Skin,1,14,42,0.0,Sephora,London,Sensitive
YUL-10038,2024-09-16,P005,Ceramide Barrier Cream,Skin,3,14,42,0.2,Online,Seoul,Oily
YUL-10039,2024-09-02,P002,Fermented Rice Serum,Skin,3,15,45,0.25,Flagship Store,Seoul,Oily
